dt,high,low,close
2022-12-20,0.5555555440126569,0.4822076721676428,0.5
2022-12-21,0.7417578802906604,0.6952716887189585,0.7391303978023598
2022-12-22,0.6056806835742499,0.5835008484104767,0.6031214921633907
2022-12-23,0.7063667244781074,0.6209817271616919,0.703455852318045
2022-12-26,1.0501979680675653,0.9935007582447972,1.0156074608169532
2022-12-27,1.0099554741325187,0.9364699027771058,0.9710144118593287
2022-12-28,1.1861644801504019,1.1359032199767225,1.158305376958674
2022-12-29,1.1830712742474172,1.119121400716503,1.1772576619816477
2022-12-30,1.1248603244449176,1.0509562459827757,1.1248603244449176
2023-01-03,1.5593890625938414,1.4587775723157186,1.5507248456950582
2023-01-04,1.5190464166049358,1.3898364068486921,1.4113714348047135
2023-01-05,1.366746226774721,1.3062847933218218,1.3333333333333335
2023-01-06,1.6138555571759705,1.524902760529505,1.6120401551140229
2023-01-09,2.1224161986230032,1.9341633636627615,2.098104707706774
2023-01-10,2.1375863654646436,2.0640544277573225,2.0958752147362145
2023-01-11,2.1586668946737615,2.0185925349819884,2.13043501373525
2023-01-12,2.8754917130804145,2.752910997499478,2.866220853127127
2023-01-13,3.791983144196543,3.295498136797773,3.7240802039098315
2023-01-16,3.4824721121415387,3.163290975460003,3.1727984634041007
2023-01-17,3.4977621435329547,3.2315508470887204,3.4849498061074713
2023-01-18,3.9417634625473887,3.6071108522243565,3.886287778317165
2023-01-19,4.438092672440168,4.111075258225349,4.22630990951682
2023-01-20,4.566371423918181,4.15124655815867,4.321070271449541
2023-01-23,4.614872236314012,4.415483763602588,4.551839804816769
2023-01-24,4.6640914889258624,4.440137334725606,4.652731538214063
2023-01-25,4.9213874140949905,4.689870597919498,4.870123050575787
2023-01-26,5.388981566704913,5.111936513729198,5.184503886249717
2023-01-27,4.910318927776012,4.5243689929053845,4.644370142187855
2023-01-30,4.564243545974282,4.346288300100459,4.516165259332453
2023-01-31,5.270295304689756,4.683949295050705,5.255295869771244
2023-02-01,5.51561024451356,5.262377977202281,5.5
2023-02-02,5.362364468512811,4.88740241848423,4.88740241848423
2023-02-03,5.194028439324204,4.8717338054347845,5.190635789305366
2023-02-07,4.988894217009775,4.638796409761458,4.638796409761458
2023-02-08,4.815888928053043,4.546146308415636,4.806020077557012
2023-02-09,4.956905236897577,4.715185583152007,4.884058179028392
2023-02-10,4.612697803287741,4.502871613771886,4.59977709323023
2023-02-13,5.192207301317965,4.962194111631381,5.151616472774137
2023-02-14,5.205567918273227,5.03989037272832,5.067447531429259
2023-02-15,5.022461939631777,4.777309964823846,4.906354703507203
2023-02-16,4.348302073544162,4.172486122732868,4.3043480109882
2023-02-17,4.712066878799748,4.514865904703039,4.644927781226032
2023-02-20,4.575176468354616,4.397005347234382,4.438684796899251
2023-02-21,4.297300795522872,4.089307189041174,4.1259758151577035
2023-02-22,3.9490711867617123,3.790989108918053,3.8416947293595416
2023-02-23,3.699552727257491,3.395711147098481,3.4013379722096944
2023-02-24,3.53058553130332,3.3046890753158626,3.4180602326710345
2023-02-27,3.5166349446469627,3.204675545785667,3.457079017611187
2023-02-28,3.9034412063749633,3.7503061364766537,3.897435774761034
2023-03-01,3.7911545660173105,3.667043032455698,3.7469343674268205
2023-03-02,3.9640399946600904,3.7892002257500765,3.9308808272747897
2023-03-03,3.8646507948002506,3.6648059194786873,3.72240834997745
2023-03-06,3.944383101508682,3.698981233050937,3.869565517855825
2023-03-07,4.588629096786361,4.320797751587389,4.588629096786361
2023-03-08,4.5134295735234815,4.254180698013105,4.254180698013105
2023-03-09,4.507226181231807,4.21177325428663,4.315496007432069
2023-03-10,4.2584422827128785,4.126433619157032,4.20066914558217
2023-03-13,4.43524786113387,4.240612131986602,4.2876257505268605
2023-03-14,4.22549259736871,4.0463416229957705,4.148272339636515
2023-03-15,4.4171919575512995,4.268475525323969,4.38238611245958
2023-03-16,4.499461755120571,4.432543401871678,4.454849418322414
